DRA,BioSample,Sample_ID
DRR299448,SAMD00327712,A0615
DRR299449,SAMD00327713,A0616
DRR299450,SAMD00327714,A0617
DRR299451,SAMD00327715,A0618
DRR299452,SAMD00327716,A0619
DRR299453,SAMD00327717,A0620
DRR299454,SAMD00327718,A0621
DRR299455,SAMD00327719,A0622
DRR299456,SAMD00327720,A0623
DRR299457,SAMD00327721,A0624
DRR299458,SAMD00327722,A0625
DRR299459,SAMD00327723,A0626
DRR299460,SAMD00327724,A0627
DRR299461,SAMD00327725,A0628
DRR299462,SAMD00327726,A0629
DRR299463,SAMD00327727,A0630
DRR299464,SAMD00327728,A0631
DRR299465,SAMD00327729,A0632
DRR299466,SAMD00327730,A0633
DRR299467,SAMD00327731,A0634
DRR299468,SAMD00327732,A0635
DRR299469,SAMD00327733,A0636
DRR299470,SAMD00327734,A0637
DRR299471,SAMD00327735,A0638
DRR299472,SAMD00327736,A0639
DRR299473,SAMD00327737,A0640
DRR299474,SAMD00327738,A0641
DRR299475,SAMD00327739,A0642
DRR299476,SAMD00327740,A0643
DRR299477,SAMD00327741,A0644
DRR299478,SAMD00327742,A0645
DRR299479,SAMD00327743,A0646
