ID	YearClass	SamplingDayNumber	Current	YearClassStock	FL	Weight	Prefecture	Age	BirthDay	BirthMonth	BirthMonth2019Start
A0135	2019	148	Tsushima	T2019	186.28	87.99	Kumamoto	255	-107	9	-4
A0136	2019	148	Tsushima	T2019	178.29	73.67	Kumamoto	237	-89	10	-3
A0137	2019	148	Tsushima	T2019	184.35	74.71	Kumamoto	250	-102	9	-4
A0138	2019	148	Tsushima	T2019	180.51	84.67	Kumamoto	242	-94	9	-4
A0139	2019	148	Tsushima	T2019	182.13	79.97	Kumamoto	245	-97	9	-4
A0140	2019	138	Tsushima	T2019	89.74	8.93	Kumamoto	100	38	2	2
A0141	2019	138	Tsushima	T2019	97.05	13.46	Kumamoto	108	30	1	1
A0142	2019	138	Tsushima	T2019	101.39	12.88	Kumamoto	114	24	1	1
A0143	2019	138	Tsushima	T2019	102	13.24	Kumamoto	115	23	1	1
A0144	2019	138	Tsushima	T2019	98.06	11.55	Kumamoto	110	28	1	1
A0145	2019	138	Tsushima	T2019	85.38	8.17	Kumamoto	94	44	2	2
A0146	2019	138	Tsushima	T2019	74.51	4.71	Kumamoto	82	56	2	2
A0147	2019	138	Tsushima	T2019	73.66	4.54	Kumamoto	81	57	2	2
A0148	2019	138	Tsushima	T2019	76.79	6.2	Kumamoto	85	53	2	2
A0149	2019	138	Tsushima	T2019	83.19	7.02	Kumamoto	92	46	2	2
A0150	2019	139	Tsushima	T2019	184.43	92.1	Kumamoto	250	-111	9	-4
A0151	2019	139	Tsushima	T2019	188.06	95.72	Kumamoto	259	-120	9	-4
A0152	2019	139	Tsushima	T2019	181.58	90.59	Kumamoto	244	-105	9	-4
A0153	2019	139	Tsushima	T2019	183.01	96.8	Kumamoto	247	-108	9	-4
A0154	2019	139	Tsushima	T2019	187.56	96.06	Kumamoto	257	-118	9	-4
A0155	2019	139	Tsushima	T2019	182.26	91.76	Kumamoto	246	-107	9	-4
A0156	2019	139	Tsushima	T2019	174.67	74.91	Kumamoto	230	-91	10	-3
A0157	2019	139	Tsushima	T2019	180.31	85.93	Kumamoto	242	-103	9	-4
A0158	2019	139	Tsushima	T2019	177.01	90.2	Kumamoto	235	-96	9	-4
A0159	2019	139	Tsushima	T2019	179.86	76.05	Kumamoto	241	-102	9	-4
A0160	2019	139	Tsushima	T2019	205	116.97	Kumamoto	300	-161	7	-6
A0161	2019	139	Tsushima	T2019	197.83	108.78	Kumamoto	282	-143	8	-5
A0162	2019	139	Tsushima	T2019	182.66	82.2	Kumamoto	247	-108	9	-4
A0163	2019	139	Tsushima	T2019	173.8	71.86	Kumamoto	228	-89	10	-3
A0164	2019	139	Tsushima	T2019	71.93	4.34	Kumamoto	79	60	3	3
A0165	2019	146	Tsushima	T2019	73.48	4.56	Kumamoto	81	65	3	3
A0166	2019	146	Tsushima	T2019	76.27	4.42	Kumamoto	84	62	3	3
A0167	2019	146	Tsushima	T2019	70.49	4.04	Kumamoto	78	68	3	3
A0168	2019	146	Tsushima	T2019	74.33	5.2	Kumamoto	82	64	3	3
A0169	2019	146	Tsushima	T2019	70.65	4.46	Kumamoto	78	68	3	3
A0170	2019	146	Tsushima	T2019	90.95	8.88	Kumamoto	101	45	2	2
A0171	2019	146	Tsushima	T2019	92.45	9.3	Kumamoto	103	43	2	2
A0172	2019	146	Tsushima	T2019	70.96	3.98	Kumamoto	78	68	3	3
A0173	2019	146	Tsushima	T2019	85.33	6.27	Kumamoto	94	52	2	2
A0174	2019	161	Tsushima	T2019	90.73	7.52	Kumamoto	101	60	3	3
A0175	2019	161	Tsushima	T2019	89.6	7.71	Kumamoto	99	62	3	3
A0176	2019	161	Tsushima	T2019	93.74	8.47	Kumamoto	104	57	2	2
A0177	2019	161	Tsushima	T2019	90.91	7.4	Kumamoto	101	60	3	3
A0178	2019	161	Tsushima	T2019	88.9	8.27	Kumamoto	99	62	3	3
A0179	2019	161	Tsushima	T2019	99.69	12.05	Kumamoto	112	49	2	2
A0180	2019	161	Tsushima	T2019	97.19	10.18	Kumamoto	109	52	2	2
A0181	2019	161	Tsushima	T2019	87.49	6.68	Kumamoto	97	64	3	3
A0182	2019	161	Tsushima	T2019	97.48	10.33	Kumamoto	109	52	2	2
A0183	2019	161	Tsushima	T2019	96.22	10.16	Kumamoto	107	54	2	2
A0189	2019	162	Tsushima	T2019	85.13	7.02	Kumamoto	94	68	3	3
A0190	2019	162	Tsushima	T2019	81.72	6.11	Kumamoto	90	72	3	3
A0191	2019	162	Tsushima	T2019	93.23	8.62	Kumamoto	104	58	2	2
A0193	2019	162	Tsushima	T2019	93.83	10.62	Kumamoto	105	57	2	2
A0194	2019	162	Tsushima	T2019	101.89	11.92	Kumamoto	115	47	2	2
A0195	2019	162	Tsushima	T2019	95.82	10.99	Kumamoto	107	55	2	2
A0196	2019	162	Tsushima	T2019	89.92	7.74	Kumamoto	100	62	3	3
A0197	2019	162	Tsushima	T2019	91.24	8.26	Kumamoto	101	61	3	3
A0198	2019	162	Tsushima	T2019	99.69	10.63	Kumamoto	112	50	2	2
A0199	2019	165	Tsushima	T2019	202.78	128.72	Kumamoto	295	-130	8	-5
A0200	2019	165	Tsushima	T2019	198.92	121.46	Kumamoto	285	-120	9	-4
A0201	2019	165	Tsushima	T2019	202.56	133.52	Kumamoto	294	-129	8	-5
A0202	2019	165	Tsushima	T2019	213.76	148.68	Kumamoto	325	-160	7	-6
A0203	2019	165	Tsushima	T2019	204.78	127.57	Kumamoto	300	-135	8	-5
A0204	2019	165	Tsushima	T2019	201.52	131.46	Kumamoto	291	-126	8	-5
A0205	2019	165	Tsushima	T2019	200.95	134.98	Kumamoto	290	-125	8	-5
A0206	2019	165	Tsushima	T2019	207.12	136.93	Kumamoto	306	-141	8	-5
A0207	2019	165	Tsushima	T2019	193.73	118	Kumamoto	272	-107	9	-4
A0208	2019	165	Tsushima	T2019	190.01	105.97	Kumamoto	263	-98	9	-4
A0209	2019	165	Tsushima	T2019	208.16	130.39	Kumamoto	309	-144	8	-5
A0210	2019	165	Tsushima	T2019	211.79	141.73	Kumamoto	319	-154	7	-6
A0211	2019	165	Tsushima	T2019	214.98	147.44	Kumamoto	329	-164	7	-6
A0212	2019	165	Tsushima	T2019	212.87	156.05	Kumamoto	323	-158	7	-6
A0213	2019	165	Tsushima	T2019	240.29	199.21	Kumamoto	420	-255	4	-9
A0214	2019	165	Tsushima	T2019	216.93	149.2	Kumamoto	335	-170	7	-6
A0215	2019	165	Tsushima	T2019	202.62	142.97	Kumamoto	294	-129	8	-5
A0216	2019	165	Tsushima	T2019	223.38	172.54	Kumamoto	356	-191	6	-7
A0217	2019	165	Tsushima	T2019	221.4	171.06	Kumamoto	349	-184	6	-7
A0218	2019	165	Tsushima	T2019	225.33	178.69	Kumamoto	362	-197	6	-7
A0219	2019	167	Tsushima	T2019	199.79	124.28	Kumamoto	287	-120	9	-4
A0220	2019	167	Tsushima	T2019	217.31	140.52	Kumamoto	336	-169	7	-6
A0221	2019	167	Tsushima	T2019	215.55	140.15	Kumamoto	331	-164	7	-6
A0222	2019	167	Tsushima	T2019	205.65	123.38	Kumamoto	302	-135	8	-5
A0223	2019	141	Tsushima	T2019	42.97	1.14	Tottori	49	92	4	4
A0224	2019	141	Tsushima	T2019	47.25	1.18	Tottori	54	87	3	3
A0225	2019	141	Tsushima	T2019	54.23	1.74	Tottori	61	80	3	3
A0226	2019	141	Tsushima	T2019	49.44	1.39	Tottori	56	85	3	3
A0227	2019	141	Tsushima	T2019	47.22	1.21	Tottori	53	88	3	3
A0228	2019	141	Tsushima	T2019	40.54	0.77	Tottori	47	94	4	4
A0229	2019	141	Tsushima	T2019	32.1	0.4	Tottori	39	102	4	4
A0230	2019	141	Tsushima	T2019	49.49	1.32	Tottori	56	85	3	3
A0231	2019	141	Tsushima	T2019	39.09	0.65	Tottori	46	95	4	4
A0232	2019	141	Tsushima	T2019	51.16	1.74	Tottori	57	84	3	3
A0233	2019	141	Tsushima	T2019	60.28	2.66	Tottori	67	74	3	3
A0234	2019	141	Tsushima	T2019	37.87	0.73	Tottori	44	97	4	4
A0235	2019	141	Tsushima	T2019	38.94	0.66	Tottori	45	96	4	4
A0236	2019	141	Tsushima	T2019	66.55	3.42	Tottori	73	68	3	3
A0237	2019	141	Tsushima	T2019	61.42	2.49	Tottori	68	73	3	3
A0238	2019	141	Tsushima	T2019	42.24	0.87	Tottori	49	92	4	4
A0248	2019	134	Tsushima	T2019	26.82	0.25	Shimane	34	100	4	4
A0249	2019	134	Tsushima	T2019	36.8	0.69	Shimane	43	91	4	4
A0250	2019	134	Tsushima	T2019	36.38	0.66	Shimane	43	91	4	4
A0251	2019	134	Tsushima	T2019	49.63	1.42	Shimane	56	78	3	3
A0252	2019	134	Tsushima	T2019	39.93	0.83	Shimane	46	88	3	3
A0253	2019	134	Tsushima	T2019	40.51	0.91	Shimane	47	87	3	3
A0254	2019	134	Tsushima	T2019	40.67	0.92	Shimane	47	87	3	3
A0255	2019	134	Tsushima	T2019	45.81	1.38	Shimane	52	82	3	3
A0256	2019	134	Tsushima	T2019	43.4	1.01	Shimane	50	84	3	3
A0257	2019	134	Tsushima	T2019	36.95	0.79	Shimane	44	90	4	4
A0258	2019	136	Tsushima	T2019	34.79	0.51	Shimane	41	95	4	4
A0259	2019	136	Tsushima	T2019	43.52	0.95	Shimane	50	86	3	3
A0260	2019	136	Tsushima	T2019	48.35	1.11	Shimane	55	81	3	3
